ID,COMPANY,CALS,WEIGHT
1106268,Conservas La Costena S.A.,80,250
1106269,"American Halal Company, Inc. ",429,28
1106270,Smithfield Packaged Meats Corp.,111,54
1106271,"Wise Foods, Inc.",536,28
1106272,"The Hain Celestial Group, Inc.",536,28
1106273,"Eden Foods, Inc.",92,130
1106274,Rumiano Cheese Co.,357,28
1106275,Rumiano Cheese Co.,393,28
1106276,Flavor Delite Inc.,200,15
1106277,Flavor Delite Inc.,267,15
1106278,Flavor Delite Inc.,267,15
1106279,"Colavita USA, LLC ",375,56
1106280,Gorton's of Gloucester ,202,114
1106281,MICHELE'S,500,28
1106282,Pastificio Lucio Garofalo Spa,375,56
1106283,The Yofarm Company,100,170
1106284,Rumiano Cheese Co.,393,28
1106285,4C Foods Corp.,357,28
1106286,"Dewafelbakkers, Inc.",239,117
1106287,J&J Snack Foods Corp,297,64
1106288,Lloyd's Barbeque Company,243,140
1106289,"Greenleaf Foods, SPC",167,30
1106290,"Greenleaf Foods, SPC",107,56
1106291,Jasper Wyman & Son,38,120
1106292,McCall Farms Inc,35,127
1106293,Kontos Foods Inc.,291,79
1106294,"Wal-Mart Stores, Inc.",276,113
1106295,"Specialty Bakers, LLC",301,113
1106296,"Specialty Bakers, LLC",292,113
1106297,4C Foods Corp.,400,5
1106298,Del Monte Foods Inc.,49,123
1106299,Maple Grove Farms Of Vermont Inc.,364,44
1106300,Kontos Foods Inc.,291,79
1106301,"Bay Valley Foods, LLC",222,36
1106302,"Bay Valley Foods, LLC",176,34
1106303,"Dinosaur Restaurants, LLC",100,30
1106304,VEETEE,356,45
1106305,Kemps LLC ,163,49
1106306,Kemps LLC ,163,49
1106307,Pinnacle Foods Group LLC,211,76
1106308,Zausner Foods Corp,300,30
1106309,Perdue Farms Incorporated,250,88
1106310,"Osi Industries, LLC",144,132
1106311,Baldwin Richardson Foods Company,47,32
1106312,Cookies Food Products Inc.,117,30
1106313,John Zidian Company Inc.,56,125
1106314,Magic Seasoning Blends Inc.,0,0.5
1106315,"The Promotion In Motion Companies, Inc.",325,40
1106316,Mission Foods Inc ,286,28
1106317,Lindt & Sprungli (Schweiz) AG,552,29
1106318,"JYC International, Inc.",177,141
1106319,Ruiz Food Products Inc,200,85
1106320,"Baker Cheese Factory, Inc.",286,28
1106321,"Jennie-O Turkey Store, Inc.",125,56
1106322,"Topco Associates, Inc.",100,5
1106323,"Topco Associates, Inc.",100,5
1106324,"Topco Associates, Inc.",0,5
1106325,"Topco Associates, Inc.",857,14
1106326,"Godiva Chocolatier, Inc.",500,42
1106327,New York Frozen Foods Inc.,429,42
1106328,"Topco Associates, Inc.",857,14
1106329,"Topco Associates, Inc.",857,14
1106330,"Topco Associates, Inc.",857,14
1106331,"Topco Associates, Inc.",857,14
1106332,Challenge Dairy Products Inc.,778,9
1106333,The Pictsweet Company,36,83
1106334,"Home Market Foods, Inc.",235,85
1106335,"The Hain Celestial Group, Inc.",0,3
1106336,"Topco Associates, Inc.",43,138
1106337,"Continental Mills, Inc. ",372,43
1106338,Louisiana Fish Fry Ltd.,395,43
1106339,"Continental Mills, Inc. ",375,40
1106340,"John B. Sanfilippo & Son, Inc.",589,56
1106341,"The Hain Celestial Group, Inc.",0,3
1106342,Louisiana Fish Fry Ltd.,333,30
1106343,Louisiana Fish Fry Ltd.,333,15
1106344,"Topco Associates, Inc.",375,8
1106345,California and Hawaiian Sugar Company,375,4
1106346,California and Hawaiian Sugar Company,375,4
1106347,California and Hawaiian Sugar Company,400,30
1106348,Compania Nacional De Chocolates S.A.S.,400,20
1106349,"Land O'Frost, Inc.",98,51
1106350,Denmark Sausage Co. Inc.,247,81
1106351,Denmark Sausage Co. Inc.,284,81
1106352,"Topco Associates, Inc.",91,33
1106353,"Topco Associates, Inc.",7,227
1106354,"Topco Associates, Inc.",25,241
1106355,"Topco Associates, Inc.",17,234
1106356,"Topco Associates, Inc.",36,165
1106357,"Vienna Beef, Ltd",244,45
1106358,"G L Mezzetta, Inc.",89,28
1106359,"Topco Associates, Inc.",40,125
1106360,"Topco Associates, Inc.",25,61
1106361,"Topco Associates, Inc.",64,125
1106362,"Topco Associates, Inc.",21,121
1106363,"Kent Precision Foods Group, Inc.",400,35
1106364,Conifer Specialties Inc.,393,28
1106365,"Ajinomoto Foods North America, Inc.",271,85
1106366,"Marquez Brothers International, Inc.",129,62
1106367,Pinnacle Foods Group LLC,222,108
1106368,"Bell-Carter Foods, LLC",167,15
1106369,"Land O'Frost, Inc.",158,57
1106370,"Clougherty Packing, LLC",89,28
1106371,"Topco Associates, Inc.",500,28
1106372,"Topco Associates, Inc.",77,130
1106373,"Topco Associates, Inc.",118,85
1106374,"Continental Mills, Inc. ",350,40
1106375,"Topco Associates, Inc.",857,14
1106376,"Topco Associates, Inc.",86,14
1106377,"Topco Associates, Inc.",857,14
1106378,"Dole Packaged Foods, LLC",38,240
1106379,"Topco Associates, Inc.",29,245
1106380,Pioneer Flour Mills,400,10
1106381,"Flowers Foods, Inc.",250,32
1106382,"Bimbo Bakeries USA, Inc.",281,57
1106383,"Bimbo Bakeries USA, Inc.",281,57
1106384,"Topco Associates, Inc.",337,83
1106385,Mission Foods Inc ,233,30
1106386,Mission Foods Inc ,300,70
1106387,"B&G Foods, Inc.",25,60
1106388,Kemps LLC ,185,65
1106389,"Oregon Ice Cream, LLC",109,55
1106390,"Oregon Ice Cream, LLC",167,60
1106391,"Oregon Ice Cream, LLC",215,93
1106392,"Atkins Nutritionals, Inc.",129,255
1106393,"Atkins Nutritionals, Inc.",118,255
1106394,"Paradise Eximport, Inc.",36,28
1106395,"Innovasian Cuisine Enterprises, LLC",118,170
1106396,"Innovasian Cuisine Enterprises, LLC",138,160
1106397,Cafe Valley Inc,400,25
1106398,"Topco Associates, Inc.",333,30
1106399,Vermont Creamery Inc.,429,28
1106400,Vermont Creamery Inc.,393,28
1106401,Carl Buddig & Company,120,50
1106402,Carl Buddig & Company,160,50
1106403,Carl Buddig & Company,180,50
1106404,Mount Olive Pickle Company Inc.,0,15
1106405,Mount Olive Pickle Company Inc.,18,28
1106406,Mount Olive Pickle Company Inc.,18,28
1106407,"Topco Associates, Inc.",0,28
1106408,Saputo Cheese USA Inc. ,286,28
1106409,Denmark Sausage Co. Inc.,247,81
1106410,The Kroger Co.,33,120
1106411,"Bimbo Bakeries USA, Inc.",412,85
1106412,Tasty Baking Company,420,50
1106413,Tasty Baking Company,460,50
1106414,Tasty Baking Company,403,67
1106415,Tasty Baking Company,,38
1106416,Tasty Baking Company,418,67
1106417,"Bimbo Bakeries USA, Inc.",385,52
1106418,"Norseland, Inc",250,28
1106419,Epicurean Butter Company,643,14
1106420,Productos Alimenticios Diana,464,14
1106421,California and Hawaiian Sugar Company,375,4
1106422,Hormel Foods Corporation ,176,85
